Site_ID	Latitude	Longitude	Elevation_in_Meters	State	Species_ID	Genus	Species	Common_Name	Kingdom	Individual_ID	Phenophase_ID	Phenophase_Description	First_Yes_Year	First_Yes_Month	First_Yes_Day	First_Yes_DOY	First_Yes_Julian_Date	NumDays_Since_Prior_No	Last_Yes_Year	Last_Yes_Month	Last_Yes_Day	Last_Yes_DOY	Last_Yes_Julian_Date	NumDays_Until_Next_No
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	292	Live individuals	2013	10	3	276	2456569	-9999	2013	12	2	336	2456629	20
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	293	Calls or song (birds)	2013	10	3	276	2456569	-9999	2013	10	3	276	2456569	24
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	297	Nest building (birds)	2013	10	3	276	2456569	-9999	2013	10	3	276	2456569	24
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	310	Fruit/seed consumption	2013	12	2	336	2456629	36	2013	12	2	336	2456629	20
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	312	Flower visitation	2013	10	3	276	2456569	-9999	2013	10	3	276	2456569	24
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	446	Feeding	2013	10	27	300	2456593	24	2013	12	2	336	2456629	20
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	457	Insect consumption	2013	10	27	300	2456593	24	2013	10	27	300	2456593	36
18465	39.732826	-121.833267	61	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72940	458	Individuals at a feeding station	2013	10	3	276	2456569	-9999	2013	10	3	276	2456569	24
9465	34.524265	-112.391373	1693	AZ	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	63480	292	Live individuals	2014	7	2	183	2456841	2	2014	7	2	183	2456841	-9999
16442	39.40049	-76.620232	120	MD	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	64152	292	Live individuals	2014	5	8	128	2456786	-9999	2014	5	8	128	2456786	-9999
6213	34.156467	-118.73069	304	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	66431	292	Live individuals	2014	6	2	153	2456811	-9999	2014	7	23	204	2456862	112
6213	34.156467	-118.73069	304	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	66431	293	Calls or song (birds)	2014	6	2	153	2456811	-9999	2014	7	23	204	2456862	112
17307	35.903362	-106.32962	2303	NM	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	66541	292	Live individuals	2014	3	22	81	2456739	-9999	2014	3	22	81	2456739	-9999
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	292	Live individuals	2014	4	23	113	2456771	-9999	2014	5	2	122	2456780	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	292	Live individuals	2014	5	9	129	2456787	2	2014	10	24	297	2456955	-9999
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	293	Calls or song (birds)	2014	5	2	122	2456780	2	2014	5	2	122	2456780	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	293	Calls or song (birds)	2014	5	9	129	2456787	2	2014	5	16	136	2456794	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	293	Calls or song (birds)	2014	5	23	143	2456801	2	2014	5	23	143	2456801	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	293	Calls or song (birds)	2014	5	30	150	2456808	2	2014	5	30	150	2456808	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	293	Calls or song (birds)	2014	7	10	191	2456849	33	2014	7	17	198	2456856	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	293	Calls or song (birds)	2014	7	24	205	2456863	2	2014	7	24	205	2456863	6
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	310	Fruit/seed consumption	2014	7	10	191	2456849	33	2014	7	10	191	2456849	4
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	310	Fruit/seed consumption	2014	10	24	297	2456955	94	2014	10	24	297	2456955	-9999
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	311	Nut gathering	2014	5	2	122	2456780	2	2014	5	2	122	2456780	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	311	Nut gathering	2014	5	16	136	2456794	2	2014	5	16	136	2456794	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	312	Flower visitation	2014	5	9	129	2456787	2	2014	5	9	129	2456787	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	446	Feeding	2014	4	23	113	2456771	-9999	2014	4	30	120	2456778	2
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	446	Feeding	2014	5	9	129	2456787	2	2014	5	14	134	2456792	2
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	446	Feeding	2014	5	21	141	2456799	5	2014	5	23	143	2456801	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	446	Feeding	2014	6	4	155	2456813	5	2014	7	10	191	2456849	4
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	446	Feeding	2014	7	22	203	2456861	5	2014	10	24	297	2456955	-9999
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	457	Insect consumption	2014	5	2	122	2456780	2	2014	5	2	122	2456780	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	457	Insect consumption	2014	5	9	129	2456787	2	2014	5	9	129	2456787	5
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	457	Insect consumption	2014	5	21	141	2456799	5	2014	5	21	141	2456799	2
17707	37.360123	-122.128151	97	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	68607	457	Insect consumption	2014	6	7	158	2456816	3	2014	6	7	158	2456816	37
6214	34.159077	-118.726082	318	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	71648	292	Live individuals	2014	6	2	153	2456811	-9999	2014	6	2	153	2456811	-9999
6215	34.160709	-118.726067	326	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	71649	292	Live individuals	2014	7	28	209	2456867	-9999	2014	7	28	209	2456867	-9999
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	292	Live individuals	2014	8	22	234	2456892	37	2014	10	22	295	2456953	2
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	292	Live individuals	2014	10	29	302	2456960	5	2014	10	29	302	2456960	2
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	292	Live individuals	2014	11	7	311	2456969	7	2014	12	14	348	2457006	-9999
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	293	Calls or song (birds)	2014	8	29	241	2456899	2	2014	10	3	276	2456934	5
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	293	Calls or song (birds)	2014	10	10	283	2456941	2	2014	10	17	290	2456948	5
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	293	Calls or song (birds)	2014	10	31	304	2456962	2	2014	10	31	304	2456962	7
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	293	Calls or song (birds)	2014	11	12	316	2456974	5	2014	11	21	325	2456983	12
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	293	Calls or song (birds)	2014	12	14	348	2457006	11	2014	12	14	348	2457006	-9999
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	311	Nut gathering	2014	9	3	246	2456904	5	2014	9	3	246	2456904	2
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	311	Nut gathering	2014	10	10	283	2456941	2	2014	10	10	283	2456941	5
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	446	Feeding	2014	9	3	246	2456904	5	2014	9	3	246	2456904	2
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	446	Feeding	2014	9	10	253	2456911	5	2014	9	10	253	2456911	2
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	446	Feeding	2014	9	24	267	2456925	5	2014	9	24	267	2456925	2
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	446	Feeding	2014	10	10	283	2456941	2	2014	10	10	283	2456941	5
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	446	Feeding	2014	11	21	325	2456983	14	2014	11	21	325	2456983	12
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	457	Insect consumption	2014	9	3	246	2456904	5	2014	9	3	246	2456904	2
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	457	Insect consumption	2014	10	3	276	2456934	2	2014	10	3	276	2456934	5
6099	34.119007	-118.760071	245	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72367	457	Insect consumption	2014	11	21	325	2456983	14	2014	11	21	325	2456983	12
6100	34.118332	-118.758636	246	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72368	292	Live individuals	2014	7	11	192	2456850	-9999	2014	7	11	192	2456850	5
6100	34.118332	-118.758636	246	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72368	292	Live individuals	2014	8	1	213	2456871	16	2014	8	29	241	2456899	14
6100	34.118332	-118.758636	246	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72368	292	Live individuals	2014	10	1	274	2456932	12	2014	10	3	276	2456934	7
6100	34.118332	-118.758636	246	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72368	293	Calls or song (birds)	2014	9	12	255	2456913	14	2014	10	1	274	2456932	2
6100	34.118332	-118.758636	246	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72368	293	Calls or song (birds)	2014	10	10	283	2456941	7	2014	10	10	283	2456941	-9999
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	292	Live individuals	2014	8	13	225	2456883	-9999	2014	9	12	255	2456913	14
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	292	Live individuals	2014	10	1	274	2456932	5	2014	10	3	276	2456934	14
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	292	Live individuals	2014	10	29	302	2456960	12	2014	10	31	304	2456962	5
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	292	Live individuals	2014	12	17	351	2457009	42	2014	12	17	351	2457009	-9999
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	293	Calls or song (birds)	2014	9	3	246	2456904	5	2014	10	1	274	2456932	2
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	293	Calls or song (birds)	2014	10	17	290	2456948	14	2014	10	17	290	2456948	12
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	293	Calls or song (birds)	2014	10	31	304	2456962	2	2014	10	31	304	2456962	5
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	446	Feeding	2014	9	3	246	2456904	5	2014	9	3	246	2456904	2
6091	34.11578	-118.757507	229	CA	1229	Melanerpes	formicivorus	acorn woodpecker	Animalia	72369	446	Feeding	2014	12	17	351	2457009	42	2014	12	17	351	2457009	-9999
