Site_ID    Latitude    Longitude    Elevation_in_Meters    State    Species_ID    Genus    Species    Common_Name    Kingdom    Individual_ID    Phenophase_ID    Phenophase_Description    First_Yes_Year    First_Yes_Month    First_Yes_Day    First_Yes_DOY    First_Yes_Julian_Date    NumDays_Since_Prior_No    Last_Yes_Year    Last_Yes_Month    Last_Yes_Day    Last_Yes_DOY    Last_Yes_Julian_Date    NumDays_Until_Next_No
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    449    180    >=75% of full leaf size (deciduous)    2009    5    4    124    2454956    1    2009    5    4    124    2454956    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    449    371    Breaking leaf buds    2009    4    12    102    2454934    2    2009    4    12    102    2454934    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    449    390    Ripe fruits    2009    7    14    195    2455027    -9999    2009    7    14    195    2455027    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    449    483    Leaves    2009    4    21    111    2454943    -9999    2009    4    21    111    2454943    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    449    501    Open flowers    2009    4    19    109    2454941    7    2009    4    19    109    2454941    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    450    180    >=75% of full leaf size (deciduous)    2009    5    4    124    2454956    1    2009    5    4    124    2454956    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    450    371    Breaking leaf buds    2009    4    12    102    2454934    2    2009    4    12    102    2454934    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    450    390    Ripe fruits    2009    7    14    195    2455027    -9999    2009    7    14    195    2455027    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    450    483    Leaves    2009    4    21    111    2454943    -9999    2009    4    21    111    2454943    -9999
720    38.530819    -77.234512    25    MD    80    Juglans    nigra    black walnut    Plantae    450    501    Open flowers    2009    4    19    109    2454941    22    2009    4    19    109    2454941    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    180    >=75% of full leaf size (deciduous)    2009    6    7    158    2454990    78    2009    6    7    158    2454990    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    181    >=50% of leaves colored (deciduous)    2009    4    23    113    2454945    33    2009    4    23    113    2454945    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    182    All leaves colored (deciduous)    2009    4    23    113    2454945    33    2009    4    23    113    2454945    45
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    186    Full flowering (50%)    2009    6    7    158    2454990    45    2009    6    7    158    2454990    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    371    Breaking leaf buds    2009    3    21    80    2454912    14    2009    4    23    113    2454945    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    483    Leaves    2009    4    23    113    2454945    33    2009    6    7    158    2454990    -9999
966    38.907433    -94.437477    293    MO    80    Juglans    nigra    black walnut    Plantae    961    501    Open flowers    2009    6    7    158    2454990    45    2009    6    7    158    2454990    -9999
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    180    >=75% of full leaf size (deciduous)    2009    4    28    118    2454950    10    2009    11    2    306    2455138    -9999
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    181    >=50% of leaves colored (deciduous)    2009    10    25    298    2455130    10    2009    11    2    306    2455138    -9999
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    182    All leaves colored (deciduous)    2009    10    25    298    2455130    10    2009    11    2    306    2455138    -9999
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    183    >=50% of leaves fallen (deciduous)    2009    10    15    288    2455120    93    2009    11    2    306    2455138    -9999
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    371    Breaking leaf buds    2009    4    13    103    2454935    26    2009    4    28    118    2454950    10
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    390    Ripe fruits    2009    7    14    195    2455027    67    2009    7    14    195    2455027    93
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    483    Leaves    2009    4    18    108    2454940    5    2009    5    8    128    2454960    67
1049    38.607044    -76.66803    18    MD    80    Juglans    nigra    black walnut    Plantae    1215    483    Leaves    2009    10    15    288    2455120    93    2009    11    2    306    2455138    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    180    >=75% of full leaf size (deciduous)    2009    5    28    148    2454980    5    2009    10    26    299    2455131    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    181    >=50% of leaves colored (deciduous)    2009    10    9    282    2455114    12    2009    10    26    299    2455131    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    182    All leaves colored (deciduous)    2009    10    18    291    2455123    3    2009    10    26    299    2455131    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    183    >=50% of leaves fallen (deciduous)    2009    10    15    288    2455120    6    2009    10    26    299    2455131    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    184    All leaves fallen (deciduous)    2009    10    22    295    2455127    3    2009    10    26    299    2455131    -9999
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    371    Breaking leaf buds    2009    4    27    117    2454949    2    2009    5    11    131    2454963    3
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    390    Ripe fruits    2009    8    28    240    2455072    92    2009    10    24    297    2455129    2
443    42.304653    -83.70118    276    MI    80    Juglans    nigra    black walnut    Plantae    1978    483    Leaves    2009    5    3    123    2454955    3    2009    10    15    288    2455120    3
1373    42.261772    -72.664558    52    MA    80    Juglans    nigra    black walnut    Plantae    2177    371    Breaking leaf buds    2009    4    15    105    2454937    6    2009    5    3    123    2454955    -9999
1373    42.261772    -72.664558    52    MA    80    Juglans    nigra    black walnut    Plantae    2177    483    Leaves    2009    5    3    123    2454955    7    2009    5    3    123    2454955    -9999
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    186    Full flowering (50%)    2009    5    3    123    2454955    30    2009    5    3    123    2454955    -9999
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    371    Breaking leaf buds    2009    4    3    93    2454925    -9999    2009    4    3    93    2454925    30
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    483    Leaves    2009    4    3    93    2454925    -9999    2009    4    3    93    2454925    30
1391    31.715519    -82.937538    97    GA    80    Juglans    nigra    black walnut    Plantae    2210    501    Open flowers    2009    4    3    93    2454925    -9999    2009    4    3    93    2454925    30
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    180    >=75% of full leaf size (deciduous)    2009    5    29    149    2454981    7    2009    10    10    283    2455115    47
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    183    >=50% of leaves fallen (deciduous)    2009    10    10    283    2455115    20    2009    10    10    283    2455115    47
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    184    All leaves fallen (deciduous)    2009    11    26    330    2455162    47    2009    11    26    330    2455162    -9999
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    186    Full flowering (50%)    2009    5    15    135    2454967    6    2009    5    15    135    2454967    7
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    371    Breaking leaf buds    2009    5    1    121    2454953    7    2009    5    22    142    2454974    7
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    390    Ripe fruits    2009    10    10    283    2455115    20    2009    10    10    283    2455115    47
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    483    Leaves    2009    5    9    129    2454961    8    2009    6    5    156    2454988    8
1447    42.176537    -85.892448    230    MI    80    Juglans    nigra    black walnut    Plantae    2380    501    Open flowers    2009    5    9    129    2454961    8    2009    5    15    135    2454967    7
1464    38.971748    -77.730919    133    VA    80    Juglans    nigra    black walnut    Plantae    2462    180    >=75% of full leaf size (deciduous)    2009    5    24    144    2454976    29    2009    5    24    144    2454976    -9999
1464    38.971748    -77.730919    133    VA    80    Juglans    nigra    black walnut    Plantae    2462    184    All leaves fallen (deciduous)    2009    3    21    80    2454912    -9999    2009    4    23    113    2454945    2
1464    38.971748    -77.730919    133    VA    80    Juglans    nigra    black walnut    Plantae    2462    371    Breaking leaf buds    2009    4    25    115    2454947    2    2009    4    25    115    2454947    29
1464    38.971748    -77.730919    133    VA    80    Juglans    nigra    black walnut    Plantae    2462    483    Leaves    2009    5    24    144    2454976    29    2009    5    24    144    2454976    -9999
1567    42.997086    -88.101791    269    WI    80    Juglans    nigra    black walnut    Plantae    2846    180    >=75% of full leaf size (deciduous)    2009    5    15    135    2454967    14    2009    6    4    155    2454987    -9999
1567    42.997086    -88.101791    269    WI    80    Juglans    nigra    black walnut    Plantae    2846    371    Breaking leaf buds    2009    5    1    121    2454953    -9999    2009    5    15    135    2454967    -9999
1567    42.997086    -88.101791    269    WI    80    Juglans    nigra    black walnut    Plantae    2846    390    Ripe fruits    2009    9    15    258    2455090    123    2009    9    15    258    2455090    -9999
1567    42.997086    -88.101791    269    WI    80    Juglans    nigra    black walnut    Plantae    2846    483    Leaves    2009    5    15    135    2454967    14    2009    5    15    135    2454967    -9999
1567    42.997086    -88.101791    269    WI    80    Juglans    nigra    black walnut    Plantae    2846    501    Open flowers    2009    6    4    155    2454987    20    2009    6    4    155    2454987    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    180    >=75% of full leaf size (deciduous)    2009    5    23    143    2454975    6    2009    10    9    282    2455114    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    181    >=50% of leaves colored (deciduous)    2009    9    22    265    2455097    100    2009    9    28    271    2455103    11
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    182    All leaves colored (deciduous)    2009    10    9    282    2455114    11    2009    10    9    282    2455114    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    183    >=50% of leaves fallen (deciduous)    2009    9    28    271    2455103    6    2009    10    9    282    2455114    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    186    Full flowering (50%)    2009    5    17    137    2454969    6    2009    5    17    137    2454969    6
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    371    Breaking leaf buds    2009    4    30    120    2454952    -9999    2009    5    11    131    2454963    6
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    390    Ripe fruits    2009    9    22    265    2455097    100    2009    10    9    282    2455114    -9999
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    483    Leaves    2009    4    30    120    2454952    -9999    2009    6    7    158    2454990    7
1322    37.4659    -79.972916    388    VA    80    Juglans    nigra    black walnut    Plantae    3533    501    Open flowers    2009    5    17    137    2454969    6    2009    5    17    137    2454969    6
1836    40.579308    -85.655182    248    IN    80    Juglans    nigra    black walnut    Plantae    3627    186    Full flowering (50%)    2009    5    10    130    2454962    -9999    2009    5    11    131    2454963    -9999
